price(mln),area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Status,neworold,Furnished_status,type_of_building
31.5,1358.0,19.0384079933786,72.8471233160854,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Individual House
12.5,920.0,19.058354100000003,72.8802798,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,SAS,Flat
35.0,1765.0,19.2099437,72.83086920000001,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
12.5,900.0,19.149900436401367,72.93113708496094,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
21.0,1520.0,19.20540237426757,72.83885192871094,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
34.7,800.0,19.0583295459043,72.83395450112559,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
13.5,750.0,19.0327996,72.89635679999999,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Furnished,Flat
26.0,1100.0,19.1154899597168,72.87269592285156,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,Furnished,Flat
10.0,930.0,19.18243337,72.83751764,2.0,2.0,3.0,3.0,3.0,Ready to Move,Resale,SAS,Flat
6.2,765.0,19.15117,72.89089,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
65.0,970.0,18.95566,72.8374,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,Unfurnished,Flat
132.0,5000.0,19.114929,72.832971,4.0,6.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
30.0,1100.0,19.0799983,72.8545019,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
39.0,1350.0,19.006180342037,72.8286779623475,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
25.0,1140.0,19.15172033,72.82838209,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
17.0,1280.0,19.148655,72.839119,2.0,2.0,1.0,1.0,1.0,SAS,Resale,Unfurnished,Flat
17.0,750.0,19.0810128,72.8500709,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Furnished,Flat
32.0,1365.0,19.0013826,72.84845279999999,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
9.5,1530.0,19.234638214111328,73.1611328125,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
16.0,700.0,19.0327996,72.89635679999999,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
18.4,990.0,19.1590077,72.86927109999999,2.0,2.0,0.0,0.0,0.0,SAS,New Property,Unfurnished,Flat
15.0,585.0,19.2273315,72.8637286,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
8.7,890.0,19.1889733,72.8220064,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat
100.0,1500.0,18.962668,72.80278299999999,2.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
62.5,1480.0,19.0287285,72.8441629,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
37.5,1800.0,19.1666639,72.945133,4.0,4.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
17.0,649.0,19.08565,72.90822,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
12.5,580.0,19.1654181,72.9667254,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Furnished,Flat
17.0,800.0,19.077063,72.8840395,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,Unfurnished,Flat
16.0,740.0,19.2099437,72.83086920000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Semi-Furnished,Flat
20.3,925.0,19.032798767089844,72.89635467529297,2.0,2.0,2.0,2.0,2.0,Ready to Move,New Property,Unfurnished,Flat
25.0,1380.0,19.2099947,72.86675079999999,3.0,3.0,1.0,1.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat
22.5,1307.0,19.183819,72.86111600000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,New Property,SAS,Flat
24.0,1550.0,19.17100978,72.87098943,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
19.0,825.0,19.1179435,72.85146970000001,2.0,2.0,1.0,1.0,1.0,Ready to Move,Resale,SAS,Flat
33.0,1295.0,19.209567,72.86997099999999,3.0,3.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
15.0,620.0,19.1257992,72.8448476,2.0,2.0,0.0,0.0,0.0,SAS,Resale,Unfurnished,Flat
38.0,2200.0,19.1743133403834,72.838189899349,4.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,SAS,Flat
3.5,590.0,19.471521,72.801999,2.0,2.0,1.0,1.0,1.0,Ready to Move,New Property,SAS,Flat
7.2,850.0,19.280031,72.883798,2.0,2.0,3.0,3.0,3.0,SAS,New Property,Semi-Furnished,Flat
17.8,1050.0,19.1812188,72.94064200000001,2.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,SAS,Flat
52.5,1725.0,19.129387,72.827935,3.0,3.0,3.0,3.0,3.0,Ready to Move,New Property,SAS,Flat
70.0,1200.0,19.0175169,72.84711690000002,3.0,2.0,0.0,0.0,0.0,Ready to Move,Resale,Unfurnished,Flat
14.0,1000.0,19.187275,72.940298,2.0,2.0,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat
